@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute inputs-101 numeric
@attribute inputs-102 numeric
@attribute inputs-103 numeric
@attribute inputs-104 numeric
@attribute inputs-105 numeric
@attribute inputs-106 numeric
@attribute inputs-107 numeric
@attribute inputs-108 numeric
@attribute inputs-109 numeric
@attribute inputs-110 numeric
@attribute inputs-111 numeric
@attribute inputs-112 numeric
@attribute inputs-113 numeric
@attribute inputs-114 numeric
@attribute inputs-115 numeric
@attribute inputs-116 numeric
@attribute inputs-117 numeric
@attribute inputs-118 numeric
@attribute inputs-119 numeric
@attribute inputs-120 numeric
@attribute inputs-121 numeric
@attribute inputs-122 numeric
@attribute inputs-123 numeric
@attribute inputs-124 numeric
@attribute inputs-125 numeric
@attribute inputs-126 numeric
@attribute inputs-127 numeric
@attribute inputs-128 numeric
@attribute inputs-129 numeric
@attribute inputs-130 numeric
@attribute inputs-131 numeric
@attribute inputs-132 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
785,'2018/04/20 14:18:36:947',6,-20.880283,-6.623447,-20.285208,-1.279749,-19.435808,4.028706,-18.301605,9.208508,-16.44648,14.078941,-13.182843,18.086281,-8.850769,21.019661,-3.920543,22.89056,1.371737,23.219074,6.393572,22.378126,10.893931,20.028147,14.620752,16.66202,17.134207,12.374104,18.258562,7.455705,18.719812,2.369997,18.952047,-2.802861,18.906258,-7.982433,-17.503773,-13.906933,-15.256741,-16.011173,-12.286913,-16.927372,-9.17766,-16.903826,-6.139231,-16.278791,4.666159,-16.702036,7.384075,-17.585825,10.2338,-17.92815,13.068518,-17.477362,15.401268,-15.843802,-0.267529,-11.388066,-0.035454,-8.563905,0.193675,-5.758493,0.41502,-2.964801,-2.841827,0.153611,-1.209042,0.433394,0.459178,0.515548,1.998357,0.284323,3.485967,-0.142998,-13.286917,-9.35813,-11.457164,-10.51423,-9.239911,-10.80138,-7.22999,-10.123038,-9.162437,-9.359274,-11.269388,-9.096393,6.099847,-10.708712,8.017728,-11.562049,10.231529,-11.527857,12.141363,-10.550856,10.183619,-10.076211,8.079548,-10.134636,-7.350797,8.402457,-4.989007,6.648364,-2.321712,5.416403,0.551481,5.532848,3.274621,5.167689,5.916667,6.161085,8.260749,7.738649,6.16433,9.433596,3.517904,10.311095,0.744256,10.595441,-2.147949,10.540421,-4.951883,9.880112,-2.467149,7.519888,0.625334,7.490156,3.561481,7.263348,3.618686,7.705577,0.636317,7.922682,-2.481443,7.964444,0,0.5,0.5
786,'2018/04/20 14:18:36:996',6,-20.959848,-6.566774,-20.357199,-1.186149,-19.504934,4.160594,-18.386984,9.371922,-16.556688,14.254102,-13.280126,18.246027,-8.914627,21.146221,-3.942925,22.954206,1.371552,23.235445,6.409565,22.403147,10.920779,20.053112,14.645291,16.673468,17.150259,12.385825,18.258055,7.480027,18.70653,2.405936,18.933056,-2.762619,18.874601,-7.937585,-17.587883,-13.888979,-15.29815,-16.012533,-12.287548,-16.932253,-9.140412,-16.905766,-6.064127,-16.271938,4.640461,-16.677902,7.364256,-17.56321,10.222352,-17.908241,13.070358,-17.467447,15.423862,-15.834192,-0.235097,-11.436715,-0.003292,-8.591016,0.224903,-5.764935,0.444555,-2.949481,-2.832429,0.195944,-1.185708,0.480215,0.499576,0.560209,2.039613,0.333608,3.523691,-0.096354,-13.299332,-9.373418,-11.463381,-10.525726,-9.246712,-10.815192,-7.229634,-10.131939,-9.168518,-9.383321,-11.27659,-9.12401,6.103655,-10.71255,8.021494,-11.560364,10.227829,-11.528544,12.133374,-10.551178,10.176025,-10.089339,8.078231,-10.150494,-7.352561,8.382022,-4.970558,6.606705,-2.291843,5.370244,0.581183,5.489415,3.293152,5.121108,5.932413,6.113375,8.274673,7.71565,6.169123,9.372204,3.516817,10.193023,0.772419,10.441474,-2.099698,10.419821,-4.923349,9.820584,-2.37195,7.557358,0.66415,7.544858,3.529956,7.309437,3.565592,7.501944,0.660671,7.642506,-2.386739,7.75469,0,0.5,0.5
787,'2018/04/20 14:18:37:016',6,-20.865007,-6.629075,-20.244415,-1.300073,-19.369791,3.991749,-18.215702,9.166098,-16.346235,14.044616,-13.089983,18.069784,-8.784046,21.03318,-3.884544,22.941498,1.383477,23.299984,6.400926,22.437597,10.891395,20.054909,14.600616,16.647491,17.10718,12.325302,18.240553,7.388134,18.714146,2.304213,18.959822,-2.852969,18.925159,-8.016768,-17.550415,-13.888411,-15.300069,-15.999408,-12.318949,-16.923409,-9.1932,-16.899822,-6.1364,-16.269974,4.61093,-16.677122,7.346617,-17.563051,10.212406,-17.904276,13.058942,-17.448748,15.398191,-15.814253,-0.267912,-11.408856,-0.031932,-8.559432,0.199799,-5.727663,0.422968,-2.907887,-2.867243,0.16202,-1.215788,0.463852,0.474763,0.557088,2.033563,0.311904,3.53494,-0.139869,-13.302415,-9.366141,-11.475038,-10.49047,-9.276271,-10.786774,-7.26258,-10.160991,-9.191465,-9.421453,-11.286182,-9.152158,6.091094,-10.737717,8.016894,-11.536829,10.212641,-11.492335,12.115286,-10.546705,10.153502,-10.121139,8.062246,-10.188046,-7.368374,8.390032,-5.012066,6.640221,-2.336042,5.42139,0.547462,5.547313,3.28313,5.174724,5.934912,6.157219,8.274687,7.73461,6.171576,9.435112,3.517975,10.316422,0.738774,10.606701,-2.1571,10.540773,-4.962166,9.871463,-2.483015,7.516365,0.620873,7.499587,3.571421,7.263002,3.629255,7.709364,0.634509,7.940716,-2.493171,7.963852,0,0.5,0.5
788,'2018/04/20 14:18:37:075',6,-20.965174,-6.674435,-20.364326,-1.276163,-19.518925,4.089929,-18.412556,9.325759,-16.596634,14.238976,-13.316442,18.250813,-8.930846,21.145596,-3.942192,22.941387,1.379144,23.221642,6.423571,22.382612,10.948962,20.028309,14.682193,16.635698,17.178623,12.320327,18.268236,7.391992,18.697628,2.310427,18.907478,-2.859005,18.83341,-8.033156,-17.609169,-13.863539,-15.322093,-15.991908,-12.311095,-16.917826,-9.160969,-16.892466,-6.080693,-16.258118,4.649355,-16.658186,7.365057,-17.538813,10.214554,-17.880754,13.052279,-17.438789,15.395317,-15.808796,-0.220685,-11.401644,0.013899,-8.558239,0.24404,-5.73406,0.465119,-2.920819,-2.822796,0.191458,-1.168384,0.475686,0.523226,0.557955,2.061275,0.328624,3.544796,-0.102409,-13.330172,-9.343547,-11.492966,-10.478027,-9.284709,-10.771327,-7.26678,-10.110607,-9.204249,-9.370309,-11.30857,-9.110364,6.11596,-10.688497,8.034253,-11.510824,10.230055,-11.477905,12.132247,-10.518172,10.176624,-10.07177,8.084975,-10.13527,-7.352198,8.404634,-4.968232,6.621163,-2.284781,5.376781,0.597069,5.496135,3.312536,5.126532,5.952557,6.124493,8.289737,7.737312,6.181986,9.385618,3.529885,10.199203,0.789469,10.446138,-2.083608,10.424536,-4.910996,9.832284,-2.376271,7.562433,0.681137,7.549443,3.563034,7.313275,3.599023,7.518689,0.679656,7.663614,-2.386777,7.772734,0,0.5,0.5
789,'2018/04/20 14:18:37:092',6,-20.89809,-6.370735,-20.255629,-1.056538,-19.357199,4.218519,-18.182999,9.355946,-16.296755,14.167627,-13.0347,18.115896,-8.735022,21.018734,-3.84829,22.879871,1.405332,23.195944,6.422692,22.358288,10.903093,19.997227,14.598775,16.619236,17.096033,12.345537,18.229204,7.457105,18.706781,2.399116,18.957367,-2.75069,18.921759,-7.906658,-17.600296,-13.943439,-15.337806,-16.054632,-12.351182,-16.972763,-9.226152,-16.946163,-6.172895,-16.314894,4.611198,-16.737286,7.342699,-17.624825,10.207072,-17.969675,13.057272,-17.515703,15.404994,-15.87609,-0.279225,-11.441457,-0.038821,-8.611523,0.196764,-5.800102,0.423361,-2.999398,-2.846349,0.172934,-1.200368,0.467123,0.485251,0.550983,2.03595,0.313017,3.527106,-0.132756,-13.34946,-9.368095,-11.521358,-10.504013,-9.316504,-10.799441,-7.305747,-10.154796,-9.23533,-9.401985,-11.334438,-9.133942,6.101715,-10.746516,8.019661,-11.565045,10.219349,-11.526059,12.122416,-10.571558,10.166504,-10.124837,8.073426,-10.187709,-7.333888,8.387866,-4.973749,6.642352,-2.309539,5.417478,0.556723,5.529006,3.275129,5.167653,5.915612,6.152104,8.257698,7.720189,6.165297,9.414633,3.52193,10.292417,0.750575,10.57586,-2.137384,10.520676,-4.934552,9.859382,-2.435697,7.514383,0.632073,7.483284,3.545516,7.261341,3.603612,7.688079,0.643739,7.902596,-2.449138,7.943512,0,0.5,0.5
790,'2018/04/20 14:18:37:144',6,-20.945206,-6.513803,-20.335089,-1.14389,-19.476814,4.192144,-18.352648,9.392788,-16.515175,14.266294,-13.235818,18.248196,-8.871688,21.137798,-3.906843,22.940468,1.398184,23.218117,6.427926,22.387497,10.932631,20.040751,14.651361,16.666189,17.148609,12.382616,18.251625,7.481086,18.69585,2.415588,18.919048,-2.744097,18.858759,-7.908952,-17.609688,-13.906319,-15.337044,-16.03112,-12.340404,-16.955957,-9.204813,-16.931883,-6.13926,-16.301361,4.629431,-16.701283,7.348581,-17.591991,10.203042,-17.942024,13.048044,-17.502417,15.398046,-15.871042,-0.249724,-11.377508,-0.015849,-8.549575,0.21402,-5.740352,0.435706,-2.941399,-2.862531,0.186141,-1.202302,0.478598,0.49804,0.561069,2.055575,0.326233,3.554078,-0.117477,-13.291706,-9.362982,-11.471508,-10.493228,-9.280115,-10.784136,-7.278627,-10.128621,-9.198967,-9.387374,-11.286267,-9.128538,6.133151,-10.721698,8.037445,-11.541777,10.218806,-11.506569,12.108218,-10.553596,10.16608,-10.10733,8.08881,-10.166995,-7.333023,8.384138,-4.960397,6.606433,-2.284815,5.368262,0.588873,5.483436,3.3032,5.114883,5.944599,6.104869,8.285789,7.70471,6.181401,9.361597,3.531914,10.186156,0.787813,10.439624,-2.084232,10.418155,-4.904228,9.819345,-2.362698,7.541647,0.673193,7.52136,3.542856,7.287687,3.581966,7.525208,0.674066,7.679726,-2.374409,7.78309,0,0.5,0.5
791,'2018/04/20 14:18:37:161',6,-20.928625,-6.314878,-20.301823,-1.013304,-19.416103,4.25005,-18.239935,9.373792,-16.334875,14.169742,-13.05469,18.105625,-8.74704,21.005383,-3.854359,22.867851,1.40605,23.183889,6.414588,22.353863,10.888818,20.006475,14.587324,16.648399,17.090979,12.393324,18.226097,7.511309,18.703323,2.449595,18.950741,-2.707192,18.912718,-7.869502,-17.53619,-13.97438,-15.281872,-16.07239,-12.311373,-16.98867,-9.202397,-16.969975,-6.164417,-16.349337,4.610207,-16.77054,7.338162,-17.656683,10.198178,-17.998259,13.043474,-17.543352,15.390486,-15.910286,-0.284372,-11.424934,-0.0418,-8.588087,0.196996,-5.76998,0.427272,-2.962524,-2.883762,0.192036,-1.225296,0.49271,0.474642,0.577869,2.045572,0.336584,3.555033,-0.11705,-13.266283,-9.388342,-11.444487,-10.527689,-9.244564,-10.813306,-7.24438,-10.152766,-9.167868,-9.405132,-11.259195,-9.142446,6.085589,-10.747684,7.995213,-11.583845,10.191302,-11.548715,12.090499,-10.590733,10.141434,-10.134872,8.05407,-10.191669,-7.360791,8.369093,-4.99751,6.61706,-2.322044,5.396372,0.554766,5.507565,3.283351,5.146018,5.934226,6.12753,8.282562,7.698503,6.18465,9.408933,3.531183,10.298879,0.746633,10.583993,-2.155173,10.530611,-4.963178,9.859189,-2.450798,7.50456,0.627799,7.470669,3.550261,7.248814,3.606677,7.689072,0.636911,7.902848,-2.467988,7.946705,0,0.5,0.5
792,'2018/04/20 14:18:37:212',6,-20.960688,-6.301069,-20.347248,-0.970732,-19.479492,4.323526,-18.333418,9.473776,-16.464422,14.28805,-13.179682,18.221947,-8.837658,21.093592,-3.901319,22.899178,1.383289,23.175644,6.412159,22.362116,10.912464,20.03179,14.631915,16.678131,17.137653,12.421009,18.251196,7.534873,18.710093,2.465642,18.944469,-2.705634,18.891912,-7.882431,-17.555317,-13.956687,-15.287443,-16.057974,-12.309416,-16.972857,-9.19568,-16.957314,-6.151668,-16.341488,4.644744,-16.761604,7.369562,-17.642399,10.226613,-17.981161,13.071439,-17.529236,15.422702,-15.89451,-0.269578,-11.441509,-0.031123,-8.599118,0.203753,-5.776375,0.430115,-2.963818,-2.855801,0.199167,-1.206712,0.480393,0.480933,0.555925,2.033667,0.328257,3.529747,-0.102868,-13.250863,-9.385502,-11.423862,-10.531345,-9.218918,-10.816146,-7.21364,-10.140824,-9.142362,-9.395143,-11.238932,-9.135291,6.088437,-10.737264,7.999051,-11.583295,10.197098,-11.5501,12.097582,-10.583526,10.147228,-10.123811,8.057837,-10.180949,-7.332341,8.396357,-4.969426,6.614202,-2.300933,5.370105,0.568268,5.481848,3.284497,5.119264,5.923859,6.121481,8.263198,7.723036,6.151396,9.371472,3.501932,10.194791,0.755557,10.446449,-2.110552,10.425183,-4.919059,9.825379,-2.390213,7.54044,0.646384,7.510004,3.520707,7.288834,3.553906,7.543705,0.642748,7.694164,-2.405605,7.798629,0,0.5,0.5
793,'2018/04/20 14:18:37:228',6,-20.942278,-6.296443,-20.324757,-0.995251,-19.449827,4.268971,-18.278402,9.391927,-16.374739,14.187624,-13.091538,18.124638,-8.775162,21.020847,-3.871124,22.876867,1.398672,23.188427,6.418573,22.3624,10.905951,20.018761,14.618027,16.662123,17.124245,12.399588,18.249153,7.502193,18.716595,2.417948,18.9517,-2.763831,18.903276,-7.950653,-17.503271,-13.93902,-15.263155,-16.026844,-12.313355,-16.94305,-9.224959,-16.93462,-6.20574,-16.328905,4.644725,-16.775164,7.365137,-17.656351,10.216042,-17.993149,13.051293,-17.533709,15.390417,-15.901339,-0.299277,-11.452544,-0.052443,-8.605269,0.191001,-5.776741,0.425853,-2.958758,-2.854801,0.171301,-1.213295,0.455507,0.46669,0.533899,2.019508,0.298375,3.515479,-0.139986,-13.234435,-9.364931,-11.415393,-10.49521,-9.222997,-10.785468,-7.223593,-10.14441,-9.141999,-9.396462,-11.228862,-9.129914,6.069755,-10.756941,7.980649,-11.581178,10.172031,-11.543209,12.07207,-10.599058,10.122978,-10.149781,8.03758,-10.205468,-7.324056,8.37852,-4.969167,6.626687,-2.305733,5.402007,0.560055,5.511488,3.277115,5.147567,5.9176,6.130296,8.260479,7.694584,6.16542,9.393383,3.523103,10.279673,0.74807,10.565418,-2.141869,10.516318,-4.937391,9.854758,-2.436958,7.50316,0.631174,7.462953,3.541414,7.242669,3.594477,7.683462,0.636686,7.899449,-2.457719,7.946465,0,0.5,0.5
794,'2018/04/20 14:18:37:279',6,-20.940632,-6.410851,-20.316179,-1.059,-19.436438,4.256823,-18.282597,9.429909,-16.415392,14.265212,-13.13375,18.220776,-8.788527,21.107965,-3.845022,22.921988,1.450149,23.194614,6.486217,22.360525,10.98785,20.006861,14.697785,16.626265,17.18852,12.344764,18.286617,7.446287,18.730793,2.369105,18.949863,-2.806274,18.88287,-7.985468,-17.610527,-13.897377,-15.348974,-16.008389,-12.37203,-16.931776,-9.256852,-16.919987,-6.210387,-16.306271,4.625762,-16.747786,7.342897,-17.630863,10.193024,-17.974443,13.032522,-17.53001,15.381771,-15.902641,-0.295753,-11.465315,-0.052465,-8.601895,0.186753,-5.757417,0.417467,-2.922735,-2.836547,0.222125,-1.196713,0.497932,0.480467,0.570677,2.022485,0.340357,3.507968,-0.091121,-13.299011,-9.356276,-11.467002,-10.495937,-9.260978,-10.789872,-7.247242,-10.132928,-9.180339,-9.386888,-11.281047,-9.120591,6.047776,-10.748561,7.964418,-11.58398,10.164672,-11.553156,12.073534,-10.600422,10.117075,-10.145567,8.022964,-10.200458,-7.272098,8.419508,-4.924795,6.645136,-2.276062,5.403006,0.573406,5.514294,3.270563,5.142817,5.897277,6.133151,8.230316,7.72114,6.14299,9.381381,3.512009,10.219341,0.777094,10.481029,-2.07823,10.458851,-4.87092,9.851088,-2.353693,7.572789,0.657945,7.541421,3.511069,7.311666,3.549382,7.552608,0.65786,7.713331,-2.367028,7.816316,0,0.5,0.5
795,'2018/04/20 14:18:37:295',6,-20.89889,-6.495018,-20.280544,-1.152374,-19.407618,4.154329,-18.250408,9.325782,-16.374399,14.172462,-13.106006,18.153198,-8.78466,21.073984,-3.86729,22.936499,1.41514,23.250546,6.445008,22.399023,10.937569,20.025133,14.64312,16.631903,17.141199,12.335365,18.265869,7.423826,18.730143,2.342945,18.95923,-2.827879,18.904652,-8.00314,-17.52569,-13.917911,-15.280794,-16.020279,-12.317495,-16.941822,-9.213682,-16.92465,-6.179835,-16.303326,4.641604,-16.730961,7.351542,-17.611012,10.193654,-17.948938,13.020426,-17.495291,15.35063,-15.867792,-0.2792,-11.412073,-0.042213,-8.565372,0.190459,-5.736518,0.414507,-2.918191,-2.859714,0.179706,-1.213995,0.472947,0.471301,0.558508,2.023991,0.319175,3.518302,-0.125479,-13.286518,-9.370175,-11.454393,-10.494594,-9.252912,-10.78806,-7.242403,-10.148233,-9.173702,-9.406345,-11.27146,-9.141582,6.069486,-10.743014,7.988597,-11.556871,10.185501,-11.518857,12.09188,-10.575539,10.134506,-10.133905,8.042285,-10.193242,-7.290133,8.374609,-4.950763,6.625864,-2.300207,5.405789,0.552714,5.519976,3.256732,5.155014,5.883052,6.133874,8.205468,7.705761,6.132443,9.400777,3.509773,10.28591,0.751307,10.572916,-2.126843,10.51723,-4.908869,9.850047,-2.436321,7.497396,0.628582,7.46322,3.539094,7.240822,3.599584,7.692372,0.64244,7.916177,-2.449804,7.951864,0,0.5,0.5
796,'2018/04/20 14:18:37:345',6,-20.909023,-6.35544,-20.272377,-1.00456,-19.382933,4.309618,-18.226673,9.48156,-16.361349,14.317665,-13.080916,18.269505,-8.736299,21.149509,-3.795413,22.954842,1.492524,23.219967,6.532588,22.37594,11.036161,20.009432,14.739181,16.610218,17.217695,12.312896,18.299736,7.405093,18.727434,2.326129,18.934044,-2.849064,18.856102,-8.02662,-17.626036,-13.895727,-15.375038,-15.995532,-12.412084,-16.913486,-9.311835,-16.904442,-6.278918,-16.297598,4.610148,-16.754889,7.32274,-17.632547,10.166875,-17.973763,12.999414,-17.526749,15.339676,-15.898077,-0.323689,-11.432351,-0.076644,-8.581732,0.165402,-5.749729,0.398915,-2.9274,-2.859895,0.220545,-1.209515,0.501449,0.479036,0.575485,2.030951,0.336221,3.523531,-0.107796,-13.354218,-9.35011,-11.533409,-10.491956,-9.336654,-10.790851,-7.330296,-10.138885,-9.252473,-9.385712,-11.344985,-9.117673,6.060863,-10.775006,7.967441,-11.607757,10.157666,-11.577106,12.056894,-10.626886,10.110256,-10.172626,8.025384,-10.22551,-7.250982,8.421057,-4.907375,6.645229,-2.262011,5.405365,0.58235,5.514482,3.27641,5.135362,5.907424,6.112027,8.247376,7.691729,6.163745,9.360005,3.531575,10.200762,0.799399,10.466132,-2.052499,10.450466,-4.846922,9.850647,-2.321552,7.577552,0.673005,7.549398,3.51263,7.30753,3.552352,7.528329,0.673804,7.692063,-2.333872,7.800728,0,0.5,0.5
797,'2018/04/20 14:18:37:363',6,-20.865494,-6.467836,-20.233604,-1.135593,-19.34709,4.159748,-18.18185,9.325392,-16.30094,14.174809,-13.030308,18.15596,-8.708147,21.070179,-3.796406,22.927593,1.474499,23.235531,6.501762,22.366148,10.994522,19.980791,14.701869,16.57741,17.1975,12.265914,18.312075,7.34158,18.762936,2.258672,18.981091,-2.907131,18.917839,-8.076398,-17.557013,-13.90192,-15.312946,-15.996237,-12.350945,-16.913187,-9.248396,-16.895565,-6.214318,-16.277222,4.582804,-16.734026,7.299369,-17.621504,10.147987,-17.969849,12.982713,-17.525545,15.3227,-15.90699,-0.322028,-11.399563,-0.083295,-8.558374,0.15111,-5.735318,0.377254,-2.923526,-2.904822,0.195011,-1.247201,0.4977,0.451838,0.585384,2.022165,0.333753,3.530459,-0.129594,-13.299841,-9.346237,-11.489899,-10.46106,-9.313489,-10.758868,-7.319167,-10.140867,-9.227838,-9.397671,-11.303585,-9.128814,6.080631,-10.771132,7.982936,-11.570969,10.156859,-11.535081,12.045477,-10.607547,10.105885,-10.171104,8.03406,-10.227026,-7.315412,8.419928,-4.971586,6.670146,-2.315777,5.445418,0.546388,5.556487,3.265685,5.179204,5.911178,6.148362,8.257154,7.707654,6.168226,9.406781,3.528534,10.291119,0.760723,10.584496,-2.121907,10.53784,-4.917129,9.885815,-2.423948,7.544659,0.629299,7.510883,3.536983,7.273408,3.595927,7.691714,0.6446,7.918313,-2.43358,7.964927,0,0.5,0.5
798,'2018/04/20 14:18:37:410',6,-20.992605,-6.340071,-20.344332,-0.994614,-19.439558,4.312514,-18.254799,9.483761,-16.352165,14.32687,-13.040739,18.282347,-8.677734,21.161831,-3.72628,22.965458,1.564529,23.232832,6.584834,22.357216,11.066734,19.967453,14.752129,16.551218,17.221838,12.241022,18.304222,7.32532,18.729092,2.250951,18.926315,-2.911052,18.835884,-8.075584,-17.66321,-13.857782,-15.413482,-15.960946,-12.44537,-16.883875,-9.336246,-16.876789,-6.293031,-16.269407,4.569116,-16.752102,7.280772,-17.643326,10.124948,-17.996979,12.958122,-17.560394,15.297896,-15.940489,-0.343164,-11.415653,-0.086586,-8.570113,0.165366,-5.74275,0.408893,-2.926182,-2.857943,0.212759,-1.202314,0.489813,0.490071,0.561109,2.041436,0.316331,3.533513,-0.131989,-13.386085,-9.291073,-11.565419,-10.431406,-9.36818,-10.740487,-7.353309,-10.110631,-9.276103,-9.350629,-11.37063,-9.073669,6.034252,-10.779154,7.947474,-11.599751,10.139156,-11.570497,12.042044,-10.630746,10.090175,-10.180733,8.002456,-10.232267,-7.198699,8.457095,-4.875071,6.665415,-2.238407,5.409154,0.608995,5.516484,3.299267,5.124113,5.923416,6.103254,8.247176,7.689152,6.177182,9.357192,3.558394,10.200893,0.840673,10.477153,-2.003202,10.464741,-4.793986,9.875455,-2.280562,7.594832,0.705952,7.565776,3.530297,7.310011,3.565202,7.508844,0.705708,7.684902,-2.2891,7.79563,0,0.5,0.5
799,'2018/04/20 14:18:37:427',6,-20.887215,-6.340251,-20.246569,-1.012228,-19.352678,4.279362,-18.180655,9.432384,-16.294422,14.257766,-13.019057,18.209799,-8.690235,21.093384,-3.771954,22.918058,1.500763,23.19729,6.532173,22.338799,11.026412,19.964838,14.732132,16.573252,17.218208,12.275095,18.320251,7.362112,18.761293,2.279983,18.969604,-2.893744,18.895876,-8.069895,-17.586161,-13.829934,-15.351937,-15.946491,-12.393381,-16.887934,-9.288513,-16.891874,-6.249475,-16.292793,4.56623,-16.772894,7.286739,-17.655691,10.139622,-17.996166,12.976942,-17.538721,15.317514,-15.906048,-0.341719,-11.461809,-0.096233,-8.611979,0.14496,-5.780698,0.377673,-2.960054,-2.894331,0.180299,-1.239789,0.472131,0.455112,0.551293,2.020305,0.30329,3.524543,-0.153766,-13.307061,-9.309862,-11.489169,-10.430365,-9.30402,-10.733504,-7.297784,-10.120917,-9.215704,-9.377322,-11.300027,-9.101377,6.0403,-10.775896,7.952134,-11.579321,10.135658,-11.546663,12.036194,-10.621581,10.086828,-10.185601,8.005435,-10.239734,-7.294422,8.429773,-4.955822,6.666309,-2.303679,5.427638,0.55853,5.525923,3.276089,5.152219,5.92007,6.127371,8.264174,7.692104,6.173435,9.374846,3.539796,10.251794,0.775999,10.542306,-2.102516,10.507545,-4.893748,9.872497,-2.421872,7.51877,0.642253,7.465624,3.558787,7.236969,3.61701,7.676814,0.657412,7.903567,-2.431489,7.961461,0,0.5,0.5
800,'2018/04/20 14:18:37:479',6,-20.982477,-6.157788,-20.340946,-0.822737,-19.442701,4.475026,-18.264662,9.621412,-16.368523,14.422791,-13.063747,18.332462,-8.704306,21.172915,-3.754734,22.939493,1.533003,23.176241,6.564167,22.333685,11.059199,19.981726,14.762438,16.606749,17.247194,12.339105,18.337215,7.452301,18.766935,2.383562,18.966087,-2.789814,18.876942,-7.965371,-17.621843,-13.871943,-15.36139,-15.973679,-12.392288,-16.898405,-9.285227,-16.899355,-6.244992,-16.299391,4.554785,-16.794432,7.272477,-17.680058,10.123633,-18.024887,12.964707,-17.578173,15.317729,-15.950386,-0.34981,-11.465418,-0.097112,-8.627387,0.151438,-5.808915,0.391457,-3.000605,-2.877097,0.184597,-1.222001,0.458363,0.471347,0.523854,2.027751,0.286186,3.524271,-0.156696,-13.352007,-9.29396,-11.530424,-10.417909,-9.342309,-10.725732,-7.329738,-10.112747,-9.251019,-9.367868,-11.339286,-9.090858,6.039237,-10.786167,7.953144,-11.592153,10.137657,-11.561439,12.041256,-10.637367,10.089529,-10.202221,8.006464,-10.254248,-7.223145,8.441186,-4.900757,6.630137,-2.261281,5.360606,0.58996,5.453438,3.288701,5.076156,5.919006,6.07058,8.246013,7.675179,6.163869,9.328478,3.539677,10.160433,0.815702,10.424558,-2.028306,10.423909,-4.819098,9.846919,-2.310368,7.553904,0.684965,7.504906,3.521891,7.270083,3.553625,7.482375,0.682934,7.64335,-2.320037,7.769257,0,0.5,0.5
